realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1989-12-01,9.74
2019-12-23,2019-12-23,1990-01-01,9.90
2019-12-23,2019-12-23,1990-02-01,10.20
2019-12-23,2019-12-23,1990-03-01,10.27
2019-12-23,2019-12-23,1990-04-01,10.37
2019-12-23,2019-12-23,1990-05-01,10.48
2019-12-23,2019-12-23,1990-06-01,10.16
2019-12-23,2019-12-23,1990-07-01,10.04
2019-12-23,2019-12-23,1990-08-01,10.10
2019-12-23,2019-12-23,1990-09-01,10.18
2019-12-23,2019-12-23,1990-10-01,10.18
2019-12-23,2019-12-23,1990-11-01,10.01
2019-12-23,2019-12-23,1990-12-01,9.67
2019-12-23,2019-12-23,1991-01-01,9.64
2019-12-23,2019-12-23,1991-02-01,9.37
2019-12-23,2019-12-23,1991-03-01,9.50
2019-12-23,2019-12-23,1991-04-01,9.49
2019-12-23,2019-12-23,1991-05-01,9.47
2019-12-23,2019-12-23,1991-06-01,9.62
2019-12-23,2019-12-23,1991-07-01,9.58
2019-12-23,2019-12-23,1991-08-01,9.24
2019-12-23,2019-12-23,1991-09-01,9.01
2019-12-23,2019-12-23,1991-10-01,8.86
2019-12-23,2019-12-23,1991-11-01,8.71
2019-12-23,2019-12-23,1991-12-01,8.50
2019-12-23,2019-12-23,1992-01-01,8.43
2019-12-23,2019-12-23,1992-02-01,8.76
2019-12-23,2019-12-23,1992-03-01,8.94
2019-12-23,2019-12-23,1992-04-01,8.85
2019-12-23,2019-12-23,1992-05-01,8.67
2019-12-23,2019-12-23,1992-06-01,8.51
2019-12-23,2019-12-23,1992-07-01,8.13
2019-12-23,2019-12-23,1992-08-01,7.98
2019-12-23,2019-12-23,1992-09-01,7.92
2019-12-23,2019-12-23,1992-10-01,8.09
2019-12-23,2019-12-23,1992-11-01,8.31
2019-12-23,2019-12-23,1992-12-01,8.22
2019-12-23,2019-12-23,1993-01-01,8.02
2019-12-23,2019-12-23,1993-02-01,7.68
2019-12-23,2019-12-23,1993-03-01,7.50
2019-12-23,2019-12-23,1993-04-01,7.47
2019-12-23,2019-12-23,1993-05-01,7.47
2019-12-23,2019-12-23,1993-06-01,7.42
2019-12-23,2019-12-23,1993-07-01,7.21
2019-12-23,2019-12-23,1993-08-01,7.11
2019-12-23,2019-12-23,1993-09-01,6.92
2019-12-23,2019-12-23,1993-10-01,6.83
2019-12-23,2019-12-23,1993-11-01,7.16
2019-12-23,2019-12-23,1993-12-01,7.17
2019-12-23,2019-12-23,1994-01-01,7.06
2019-12-23,2019-12-23,1994-02-01,7.15
2019-12-23,2019-12-23,1994-03-01,7.68
2019-12-23,2019-12-23,1994-04-01,8.32
2019-12-23,2019-12-23,1994-05-01,8.60
2019-12-23,2019-12-23,1994-06-01,8.40
2019-12-23,2019-12-23,1994-07-01,8.61
2019-12-23,2019-12-23,1994-08-01,8.51
2019-12-23,2019-12-23,1994-09-01,8.64
2019-12-23,2019-12-23,1994-10-01,8.93
2019-12-23,2019-12-23,1994-11-01,9.17
2019-12-23,2019-12-23,1994-12-01,9.20
2019-12-23,2019-12-23,1995-01-01,9.15
2019-12-23,2019-12-23,1995-02-01,8.83
2019-12-23,2019-12-23,1995-03-01,8.46
2019-12-23,2019-12-23,1995-04-01,8.32
2019-12-23,2019-12-23,1995-05-01,7.96
2019-12-23,2019-12-23,1995-06-01,7.57
2019-12-23,2019-12-23,1995-07-01,7.61
2019-12-23,2019-12-23,1995-08-01,7.86
2019-12-23,2019-12-23,1995-09-01,7.64
2019-12-23,2019-12-23,1995-10-01,7.48
2019-12-23,2019-12-23,1995-11-01,7.38
2019-12-23,2019-12-23,1995-12-01,7.20
2019-12-23,2019-12-23,1996-01-01,7.03
2019-12-23,2019-12-23,1996-02-01,7.08
2019-12-23,2019-12-23,1996-03-01,7.62
2019-12-23,2019-12-23,1996-04-01,7.93
2019-12-23,2019-12-23,1996-05-01,8.07
2019-12-23,2019-12-23,1996-06-01,8.32
2019-12-23,2019-12-23,1996-07-01,8.25
2019-12-23,2019-12-23,1996-08-01,8.00
2019-12-23,2019-12-23,1996-09-01,8.23
2019-12-23,2019-12-23,1996-10-01,7.92
2019-12-23,2019-12-23,1996-11-01,7.62
2019-12-23,2019-12-23,1996-12-01,7.60
2019-12-23,2019-12-23,1997-01-01,7.82
2019-12-23,2019-12-23,1997-02-01,7.65
2019-12-23,2019-12-23,1997-03-01,7.90
2019-12-23,2019-12-23,1997-04-01,8.14
2019-12-23,2019-12-23,1997-05-01,7.94
2019-12-23,2019-12-23,1997-06-01,7.69
2019-12-23,2019-12-23,1997-07-01,7.50
2019-12-23,2019-12-23,1997-08-01,7.48
2019-12-23,2019-12-23,1997-09-01,7.43
2019-12-23,2019-12-23,1997-10-01,7.29
2019-12-23,2019-12-23,1997-11-01,7.21
2019-12-23,2019-12-23,1997-12-01,7.10
2019-12-23,2019-12-23,1998-01-01,6.99
2019-12-23,2019-12-23,1998-02-01,7.04
2019-12-23,2019-12-23,1998-03-01,7.13
2019-12-23,2019-12-23,1998-04-01,7.14
2019-12-23,2019-12-23,1998-05-01,7.14
2019-12-23,2019-12-23,1998-06-01,7.00
2019-12-23,2019-12-23,1998-07-01,6.95
2019-12-23,2019-12-23,1998-08-01,6.92
2019-12-23,2019-12-23,1998-09-01,6.72
2019-12-23,2019-12-23,1998-10-01,6.71
2019-12-23,2019-12-23,1998-11-01,6.87
2019-12-23,2019-12-23,1998-12-01,6.72
2019-12-23,2019-12-23,1999-01-01,6.79
2019-12-23,2019-12-23,1999-02-01,6.81
2019-12-23,2019-12-23,1999-03-01,7.04
2019-12-23,2019-12-23,1999-04-01,6.92
2019-12-23,2019-12-23,1999-05-01,7.15
2019-12-23,2019-12-23,1999-06-01,7.55
2019-12-23,2019-12-23,1999-07-01,7.63
2019-12-23,2019-12-23,1999-08-01,7.94
2019-12-23,2019-12-23,1999-09-01,7.82
2019-12-23,2019-12-23,1999-10-01,7.85
2019-12-23,2019-12-23,1999-11-01,7.74
2019-12-23,2019-12-23,1999-12-01,7.91
2019-12-23,2019-12-23,2000-01-01,8.21
2019-12-23,2019-12-23,2000-02-01,8.33
2019-12-23,2019-12-23,2000-03-01,8.24
2019-12-23,2019-12-23,2000-04-01,8.15
2019-12-23,2019-12-23,2000-05-01,8.52
2019-12-23,2019-12-23,2000-06-01,8.29
2019-12-23,2019-12-23,2000-07-01,8.15
2019-12-23,2019-12-23,2000-08-01,8.03
2019-12-23,2019-12-23,2000-09-01,7.91
2019-12-23,2019-12-23,2000-10-01,7.8
2019-12-23,2019-12-23,2000-11-01,7.75
2019-12-23,2019-12-23,2000-12-01,7.38
2019-12-23,2019-12-23,2001-01-01,7.03
2019-12-23,2019-12-23,2001-02-01,7.05
2019-12-23,2019-12-23,2001-03-01,6.95
2019-12-23,2019-12-23,2001-04-01,7.08
2019-12-23,2019-12-23,2001-05-01,7.15
2019-12-23,2019-12-23,2001-06-01,7.16
2019-12-23,2019-12-23,2001-07-01,7.13
2019-12-23,2019-12-23,2001-08-01,6.95
2019-12-23,2019-12-23,2001-09-01,6.82
2019-12-23,2019-12-23,2001-10-01,6.62
2019-12-23,2019-12-23,2001-11-01,6.66
2019-12-23,2019-12-23,2001-12-01,7.07
2019-12-23,2019-12-23,2002-01-01,7
2019-12-23,2019-12-23,2002-02-01,6.89
2019-12-23,2019-12-23,2002-03-01,7.01
2019-12-23,2019-12-23,2002-04-01,6.99
2019-12-23,2019-12-23,2002-05-01,6.81
2019-12-23,2019-12-23,2002-06-01,6.65
2019-12-23,2019-12-23,2002-07-01,6.49
2019-12-23,2019-12-23,2002-08-01,6.29
2019-12-23,2019-12-23,2002-09-01,6.09
2019-12-23,2019-12-23,2002-10-01,6.11
2019-12-23,2019-12-23,2002-11-01,6.07
2019-12-23,2019-12-23,2002-12-01,6.05
2019-12-23,2019-12-23,2003-01-01,5.92
2019-12-23,2019-12-23,2003-02-01,5.84
2019-12-23,2019-12-23,2003-03-01,5.75
2019-12-23,2019-12-23,2003-04-01,5.81
2019-12-23,2019-12-23,2003-05-01,5.48
2019-12-23,2019-12-23,2003-06-01,5.23
2019-12-23,2019-12-23,2003-07-01,5.63
2019-12-23,2019-12-23,2003-08-01,6.26
2019-12-23,2019-12-23,2003-09-01,6.15
2019-12-23,2019-12-23,2003-10-01,5.95
2019-12-23,2019-12-23,2003-11-01,5.93
2019-12-23,2019-12-23,2003-12-01,5.88
2019-12-23,2019-12-23,2004-01-01,5.74
2019-12-23,2019-12-23,2004-02-01,5.64
2019-12-23,2019-12-23,2004-03-01,5.45
2019-12-23,2019-12-23,2004-04-01,5.83
2019-12-23,2019-12-23,2004-05-01,6.27
2019-12-23,2019-12-23,2004-06-01,6.29
2019-12-23,2019-12-23,2004-07-01,6.06
2019-12-23,2019-12-23,2004-08-01,5.87
2019-12-23,2019-12-23,2004-09-01,5.75
2019-12-23,2019-12-23,2004-10-01,5.72
2019-12-23,2019-12-23,2004-11-01,5.73
2019-12-23,2019-12-23,2004-12-01,5.75
2019-12-23,2019-12-23,2005-01-01,5.71
2019-12-23,2019-12-23,2005-02-01,5.63
2019-12-23,2019-12-23,2005-03-01,5.93
2019-12-23,2019-12-23,2005-04-01,5.86
2019-12-23,2019-12-23,2005-05-01,5.72
2019-12-23,2019-12-23,2005-06-01,5.58
2019-12-23,2019-12-23,2005-07-01,5.70
2019-12-23,2019-12-23,2005-08-01,5.82
2019-12-23,2019-12-23,2005-09-01,5.77
2019-12-23,2019-12-23,2005-10-01,6.07
2019-12-23,2019-12-23,2005-11-01,6.33
2019-12-23,2019-12-23,2005-12-01,6.27
2019-12-23,2019-12-23,2006-01-01,6.15
2019-12-23,2019-12-23,2006-02-01,6.25
2019-12-23,2019-12-23,2006-03-01,6.32
2019-12-23,2019-12-23,2006-04-01,6.51
2019-12-23,2019-12-23,2006-05-01,6.60
2019-12-23,2019-12-23,2006-06-01,6.68
2019-12-23,2019-12-23,2006-07-01,6.76
2019-12-23,2019-12-23,2006-08-01,6.52
2019-12-23,2019-12-23,2006-09-01,6.40
2019-12-23,2019-12-23,2006-10-01,6.36
2019-12-23,2019-12-23,2006-11-01,6.24
2019-12-23,2019-12-23,2006-12-01,6.14
2019-12-23,2019-12-23,2007-01-01,6.22
2019-12-23,2019-12-23,2007-02-01,6.29
2019-12-23,2019-12-23,2007-03-01,6.16
2019-12-23,2019-12-23,2007-04-01,6.18
2019-12-23,2019-12-23,2007-05-01,6.26
